UNIT,Buck_2007,Antlerless_2007,Buck_2008,Antlerless_2008,Buck_2009,Antlerless_2009,Buck_2010,Antlerless_2010,Buck_2011,Antlerless_2011,Buck_2012,Antlerless_2012,Buck_2013,Antlerless_2013,Buck_2014,Antlerless_2014,Buck_2015,Antlerless_2015,Buck_2016,Antlerless_2016,Buck_2017,Antlerless_2017,Buck_2018,Antlerless_2018,Buck_2019,Antlerless_2019,Buck_2020,Antlerless_2020,Buck_2021,Antlerless_2021,Buck_Total,Antlerless_Total,BuckPercentTotal,AntlerlessPercentTotal
4L,214,92,280,82,310,93,288,99,409,114,400,151,322,113,353,125,429,126,439,104,398,157,479,164,411,129,467,267,523,162,5722,1978,0.15,0.14
4U,259,73,258,135,220,71,250,115,356,88,364,87,326,153,316,109,338,93,384,98,322,134,427,143,313,117,395,224,345,158,4873,1798,0.14,0.13
5C,547,131,476,102,424,130,395,115,433,146,486,177,581,160,461,197,488,194,480,103,528,88,691,156,808,195,703,236,794,161,8295,2291,0.17,0.16
5F,690,247,803,193,552,193,522,206,602,236,633,234,679,266,546,168,548,268,575,114,600,118,730,160,651,116,607,163,647,110,9385,2792,0.21,0.2
5G,1055,539,1115,433,761,396,805,320,840,399,1017,418,1023,460,867,337,983,480,1.02,421,1.16,316,1.24,482,1355,372,1257,510,1149,338,12230.42,6221,0.47,0.44
5R,581,673,586,785,633,642,600,759,842,918,945,1615,797,968,701,1013,719,912,698,916,686,716,555,806,706,670,813,1040,873,755,10735,13188,0.99,0.93
5S,0,0,0,0,1569,1311,1494,1490,1730,1230,1642,1593,1558,1531,1295,1563,1.2,1.18,1.29,1.2,1.34,1.09,1.25,1.19,1113,875,1324,1092,1254,1010,12984.08,11699.66,0.88,0.83
5T,0,0,0,0,419,273,421,187,498,250,483,282,364,214,317,228,396,131,432,109,406,122,418,157,325,128,418,236,420,172,5317,2489,0.19,0.18
6A,2445,2050,2266,1942,2142,1783,2050,1575,1838,1393,2125,907,1921,1032,1910,981,1.7,494,1.95,533,2.56,557,2.42,626,3261,664,3256,905,3145,1190,26367.63,16632,1.25,1.18
6C,1827,1319,1676,1513,1964,1853,1792,1662,1720,1383,1875,1451,1816,1402,1615,1417,1.43,981,1.61,883,1.83,829,1.92,1.27,2189,1316,1873,1855,2039,977,20392.79,18842.27,1.42,1.33
6F,1224,305,1321,252,986,285,947,331,780,277,972,214,920,257,636,278,577,231,608,89,888,93,802,91,952,87,862,81,845,131,13320,3002,0.23,0.21
6G,2829,3552,2899,3989,2806,3645,2646,4053,2463,3394,3189,3600,2995,4285,2771,4265,2.39,2.78,2.52,2.97,2.88,2.7,3.09,3.34,3353,3123,3370,4543,3128,3213,32459.88,41673.79,3.14,2.95
6H,244,220,194,255,171,175,196,276,151,152,210,216,246,189,166,213,137,102,205,155,221,145,261,191,181,117,167,200,178,126,2928,2732,0.21,0.19
6J,1490,598,1783,536,898,370,873,319,920,358,1150,398,1175,415,861,326,727,303,901,106,965,69,972,93,1005,94,907,144,846,182,15473,4311,0.32,0.3
6N,827,162,741,230,606,196,645,254,787,198,1047,193,986,261,616,238,500,208,764,218,739,161,558,224,670,153,810,187,778,127,11074,3010,0.23,0.21
6P,329,241,284,238,265,212,341,297,345,281,488,433,425,490,431,596,381,419,469,488,405,411,483,609,533,509,495,707,510,518,6184,6449,0.49,0.46
6R,769,839,730,814,999,936,1084,1028,1019,852,1025,904,1001,1001,1100,1158,1.03,893,1.15,1.2,1.03,911,1.18,1.05,1126,843,1069,1192,1037,821,10963.39,12194.25,0.92,0.86
7H,1187,1788,1161,1923,1374,2030,1355,2468,1330,2578,1588,2405,1271,2091,1087,1787,874,1.32,802,1.37,918,1.02,919,1.26,939,1070,1005,1434,916,993,16726,20571.95,1.55,1.45
7J,2207,2979,2325,3239,2827,3873,2934,4164,3059,4096,3286,4376,3037,5266,3197,5184,2.56,3.98,2.39,3.78,2.25,3.23,2.41,3.95,2573,3241,2490,3941,2227,3210,30171.6,43583.94,3.28,3.08
7P,0,0,0,0,1095,1032,1159,934,1136,806,1292,797,1321,1032,1249,1080,1.21,723,1.12,810,1.09,598,1.32,904,1353,754,1292,1045,1181,682,11082.73,11197,0.84,0.79
7R,2444,4133,2457,4007,2183,3946,2400,4056,2395,3789,2393,3471,2117,3443,1882,3223,1.92,2.25,2.03,3,1.89,2.43,2.09,3.23,2203,2648,2355,3361,2086,2777,24922.93,38864.91,2.92,2.75
7S,2216,2717,2053,2574,1681,1797,1940,1613,1992,1913,2017,1874,2047,1876,1634,1756,1.76,1.53,1.95,1.74,2.07,1.82,2.11,2.08,2409,1845,2447,2985,2129,2138,22572.89,23095.17,1.74,1.63
8A,1094,1767,1045,1777,1002,1790,1088,1973,1069,1935,1183,1889,1189,2068,1111,1897,1.09,1.88,1.24,1.85,1.34,1.99,1.51,2.3,1641,2273,1659,2731,1485,2438,13571.18,22546.02,1.7,1.59
8C,89,177,105,216,96,224,90,191,119,172,76,123,150,197,127,228,101,195,190,146,154,139,126,171,164,202,200,252,154,149,1941,2782,0.21,0.2
8F,1995,3792,2002,3243,2069,4063,2132,4633,2430,4329,2759,4381,2980,5141,2730,4405,2.3,3.73,2.42,4.06,2.45,3.49,2.62,4.1,2557,3550,2486,4157,2425,3616,26574.79,45325.39,3.41,3.21
8G,2308,4233,2172,3935,2108,4248,2365,4971,2445,4865,2798,5030,2965,5162,2744,5141,2.68,4.32,2.9,4.75,2.91,4.13,2.93,4.75,3210,4465,2676,4772,2668,3945,28470.42,50784.94,3.82,3.59
8H,2174,4452,2210,3901,1980,4357,2325,4864,2461,4985,2706,5064,2835,5269,2778,5309,2.56,4.65,2.65,4.66,2.46,3.93,2.49,4.44,2742,3810,2594,4826,2721,3861,27536.16,50715.68,3.82,3.59
8J,1745,2591,1524,2203,1660,2803,1909,3227,2114,3516,2273,3737,2355,3831,2059,3293,2.19,2.86,1.87,3.27,1.91,2.36,1.89,2.74,2049,2543,1969,3004,1965,2227,21629.86,32986.22,2.48,2.33
8M,1055,1551,1017,1698,1051,1487,1124,1360,1077,1435,1365,1479,1191,1599,1466,1872,1.32,1.87,1.58,1.92,1.57,2.07,1.55,2.23,1565,2089,1364,2617,1364,2088,13645.02,19283.08,1.45,1.36
8P,1354,1464,1217,1902,1099,1336,1065,1247,1214,876,1191,1225,1109,1103,1183,1097,1.09,783,1.19,828,1.23,708,1.23,894,1521,794,1198,1417,1397,998,13552.74,16672,1.25,1.18
8R,1150,2264,1285,2239,1336,2520,1405,3239,1547,3092,1688,3113,1660,3478,1620,3350,1.5,2.69,1.58,2.68,1.31,2.37,1.43,2.92,1470,2424,1428,3128,1572,2635,16166.82,31492.65,2.37,2.23
8S,692,496,737,383,777,750,859,916,863,950,901,910,868,1089,754,1197,675,786,883,766,801,843,795,971,836,804,947,1419,968,1058,12356,13338,1,0.94
8T,1535,1856,1442,1914,1457,1939,1504,1610,1423,1429,1585,1322,1282,1199,1295,1310,1.39,1.16,1.39,1.04,1.72,1.15,1.73,1.52,2284,1435,1977,2599,1891,1745,17681.22,18362.87,1.38,1.3
8W,1419,1466,1312,1895,1175,1452,1294,1086,1393,1156,1321,1305,1273,1057,1219,927,1.2,806,1.2,768,1.36,688,1.37,1.02,1573,805,1724,1469,1644,1274,15352.14,16155.02,1.22,1.14
8X,1878,2758,1783,3272,1748,2518,1672,2634,1600,2407,1846,2103,1631,2312,1505,2492,1.69,2.25,1.55,2.02,1.83,1.94,1.96,2.42,2521,2771,2222,3470,2058,2885,20471.01,29630.63,2.23,2.1
8Y,1247,1417,1257,1599,1011,1198,1279,963,1313,1253,1344,1587,1235,1196,1102,1097,1.32,1.08,1.28,988,1.34,1.01,1.27,1.15,1534,1002,1512,1785,1246,1157,14085.21,15245.24,1.15,1.08
9A,953,1409,939,1229,854,1385,951,1621,1025,1490,1039,1584,1013,1350,877,1285,865,1.27,1.02,1.31,889,969,943,1.2,1132,1259,1201,1648,1143,1525,13825.02,16757.78,1.26,1.19
9F,920,1030,884,1137,903,1407,964,1703,994,1490,1020,1573,963,1520,960,1478,764,1.13,831,1.06,885,1.07,974,1.23,894,1185,983,1298,870,1242,13809,15067.48,1.13,1.07
9G,540,636,582,870,538,842,563,951,581,1010,735,1197,650,1207,639,1234,593,940,606,870,587,918,704,1.11,671,1040,682,1156,604,911,9275,13783.11,1.04,0.97
9J,2505,3936,2176,3200,2196,3418,2340,3426,2475,3426,2809,3698,2661,3845,2443,3774,2.38,2.93,2.51,2.86,2.56,2.98,2.81,3.93,2787,3689,2701,4509,2629,3145,27732.26,40078.7,3.02,2.83
9K,1578,1887,1328,1753,1475,1564,1472,1546,1524,1525,1672,1447,1535,1719,1518,1754,1.56,1.51,1.63,1.53,1.77,1.49,1.85,1.97,1776,1963,1544,2857,1542,1677,16970.81,19698.5,1.48,1.39
9M,1580,1751,1323,2638,1698,2148,1523,2187,1497,1968,1649,1778,1487,1727,1324,1719,1.43,1.48,1.47,1.6,1.43,1.34,1.5,1.6,1562,1553,1256,2197,1319,1220,16223.83,20892.01,1.57,1.48
9N,800,1700,709,942,856,1216,923,1638,857,1354,1010,1223,723,1239,785,1206,732,829,790,978,779,891,797,1.03,891,927,719,1523,772,887,12143,16554.03,1.25,1.17
9P,2572,2978,2368,2524,2266,2442,2394,2261,2411,1697,2486,1732,2325,1678,2498,1838,2.49,1.67,2.26,1.36,2.76,1.48,2.77,2.19,3007,1991,2503,3502,2660,1783,27500.28,24432.7,1.84,1.73
9R,553,570,516,484,523,542,476,395,583,402,574,740,500,410,436,286,491,279,452,183,587,183,568,310,653,344,559,640,626,406,8097,6174,0.46,0.44
9S,162,142,148,105,145,127,112,110,148,82,133,105,130,96,113,98,133,64,115,47,133,61,154,81,191,95,144,186,212,114,2173,1513,0.11,0.11
9T,728,808,559,457,565,496,705,513,647,475,708,419,660,435,549,353,554,259,500,265,612,222,728,359,808,427,634,784,762,498,9719,6770,0.51,0.48
9W,1000,1230,998,1046,938,1307,978,1005,884,906,935,814,782,751,815,800,779,685,854,640,917,608,932,779,877,622,743,888,851,642,13283,12723,0.96,0.9
9X,828,887,791,670,713,720,682,627,679,431,742,452,703,514,697,399,770,456,634,375,714,325,792,485,880,500,680,798,787,478,11092,8117,0.61,0.57
9Y,627,1029,600,878,558,827,491,878,509,669,575,602,487,682,486,697,485,416,489,524,551,444,611,661,746,900,600,1152,625,791,8440,11150,0.84,0.79
7F,1303,2098,1422,2119,1643,2467,1911,3124,1857,2693,2003,2813,1830,3281,1798,2635,1.42,2.21,1.55,2.42,1.57,1.82,1.71,2.25,1717,1786,1593,2197,1530,1680,18613.26,26901.7,2.02,1.9
6K,2246,1496,2651,2218,2171,1748,2462,2017,2453,1810,3135,2247,3201,2626,2671,2561,2.17,1.45,2.36,1.6,2.25,1.33,2.53,1.74,2968,1515,2854,2446,2974,1639,29795.31,22329.13,1.68,1.58
7M,4878,4052,5171,5397,4128,3299,4485,3566,4227,4019,4657,3875,4757,4288,4532,4667,3.79,3.65,3.95,3.97,4.04,3.68,4.14,4.82,4077,4082,3607,4678,3371,3487,47905.92,45426.11,3.42,3.21
5J,1089,600,1098,619,755,490,784,438,877,430,1037,477,1074,523,966,469,923,357,1.07,385,965,293,1.01,453,1040,354,1075,436,992,285,12677.08,6609,0.5,0.47
1C,781,1378,805,1723,823,1954,958,2033,983,2003,985,1670,983,1890,1175,2316,1.21,2.19,1.32,1.89,1.32,1.93,1.28,2.13,1594,2530,1861,2664,1457,1565,12410.13,21734.14,1.64,1.54
3A,820,148,888,212,814,175,824,177,687,166,667,149,804,194,775,249,625,152,652,122,662,141,775,137,749,148,893,184,812,123,11447,2477,0.19,0.18
3C,490,715,433,613,514,598,538,342,786,418,645,596,679,510,578,509,547,336,692,328,629,368,761,418,728,404,850,677,472,306,9342,7138,0.54,0.5
3F,910,1026,906,1102,767,1220,810,975,846,842,913,1055,776,1157,682,1043,556,683,755,669,595,591,630,635,611,639,527,666,256,286,10540,12589,0.95,0.89
3G,1117,1007,1238,1166,1096,1041,1018,1027,1096,845,1072,877,909,835,775,783,596,621,706,472,704,426,815,469,878,448,825,848,670,468,13515,11333,0.85,0.8
